name,weight,depth,width,height,stackable
MAIN CONSERVATOR,6460,171,86,106,FALSE
CLTC CONSERVATOR,950,90,43,42,FALSE
AIR VENT PIPE LINE,2213,153,74,31,FALSE
HV BUSHING (HT),1512,193,30,46,FALSE
HV BUSHING (CT),1512,193,30,46,FALSE
HV BUSHING (HT),1512,193,30,46,FALSE
MVN BUSHING,551,70,23,28,FALSE
XV & XVN BUSHING,1076,82,62,30,FALSE
YV & YVN BUSHING,1076,82,62,30,FALSE
HV BUSHING HOUSING,6402,122,51,53,FALSE
MVN BUSHING HOUSING,675,33,33,34,FALSE
XV & XVN BUSHING HOUSING,2405,121,41,40,FALSE
XV & XVN BUSHING HOUSING,2405,121,41,40,FALSE
RADIATOR,4244,114,74,59,FALSE
RADIATOR,4244,114,74,59,FALSE
RADIATOR,4244,114,74,59,FALSE
RADIATOR,4244,114,74,59,FALSE
RADIATOR,4244,114,74,59,FALSE
RADIATOR,4244,114,74,59,FALSE
RADIATOR,4244,114,74,59,FALSE
RADIATOR,4244,114,74,59,FALSE
RADIATOR BANK,4835,169,129,53,FALSE
RADIATOR BANK PIPE LINE,3706,121,82,38,FALSE
RADIATOR BANK OIL PUMP PIPE LINE,692,47,43,32,FALSE
RADIATOR BANK SUPPORT (1),6495,220,94,43,FALSE
RADIATOR BANK SUPPORT (2),2921,153,74,35,FALSE
FAN SUPPORT & CABLE PIPE & ETC SUPPORT,2452,121,62,52,FALSE
COOLING FAN,1768,100,68,60,FALSE
PRESSURE RELIEF DEVICE PIPE LINE,1411,149,62,33,FALSE
XV & YV LA SUPPORT,2114,137,66,32,FALSE
ACCESORY,1182,62,54,30,FALSE
